metric  	dataset      	model   	index	config                                                            	ms	ts	ds	mean	lb	ub	ss	rank
jaccsim 	whoqol       	Polygrid	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	   10.0	   10.0	    0.0	0.000000	0.000000	0.000000	 50	1.5
jaccsim 	whoqol-ml-11 	Polygrid	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	 1067.0	 1067.0	    0.0	0.044000	0.033000	0.055000	 50	1.0
jaccsim 	whoqol-ml-22 	Polygrid	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	  903.0	  903.0	    0.0	0.146000	0.130000	0.161000	 50	1.0
jaccsim 	ampiab       	Polygrid	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   15.0	   15.0	    0.0	0.370000	0.341000	0.398000	 50	1.0
jaccsim 	ampiab-ml-11 	Polygrid	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	  661.0	  661.0	    0.0	0.312000	0.287000	0.337000	 50	1.0
jaccsim 	ampiab-ml-22 	Polygrid	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  682.0	  682.0	    0.0	0.311000	0.303000	0.318000	 50	2.0
jaccsim 	elsio1       	Polygrid	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   30.0	   30.0	    0.0	0.458000	0.427000	0.489000	 50	2.0
jaccsim 	elsio1-ml-11 	Polygrid	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	  826.0	  826.0	    0.0	0.166000	0.153000	0.179000	 50	2.0
jaccsim 	elsio1-ml-22 	Polygrid	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	 1013.0	 1013.0	    0.0	0.266000	0.258000	0.273000	 50	2.0
jaccsim 	whoqol       	Linear  	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	    8.0	   10.0	    2.0	0.534000	0.492000	0.577000	 50	4.0
jaccsim 	whoqol-ml-11 	Linear  	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	   44.0	 1067.0	 1023.0	0.231000	0.209000	0.252000	 50	6.0
jaccsim 	whoqol-ml-22 	Linear  	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	   88.0	  903.0	  815.0	0.333000	0.315000	0.350000	 50	5.0
jaccsim 	ampiab       	Linear  	   42	(1, 1, 'averages', 'tree', 'miss', 'lstsqsym', 'single')          	   15.0	   15.0	    0.0	0.706000	0.689000	0.723000	 50	4.0
jaccsim 	ampiab-ml-11 	Linear  	 1884	(2, 6, 'averages', 's-invariant', 'miss', 'lstsquni', 'single')   	   55.0	  661.0	  606.0	0.370000	0.355000	0.385000	 50	4.0
jaccsim 	ampiab-ml-22 	Linear  	 1507	(2, 3, 'rho', 'r-invariant', 'cover', 'lstsqsym', 'multiple')     	  110.0	  682.0	  572.0	0.416000	0.409000	0.423000	 50	4.0
jaccsim 	elsio1       	Linear  	  121	(1, 1, 'measures', 'r-invariant', 'miss', 'lstsq', 'multiple')    	   30.0	   30.0	    0.0	0.441000	0.416000	0.465000	 50	1.0
jaccsim 	elsio1-ml-11 	Linear  	 2976	(3, 5, 'measures', 's-invariant', 'cover', 'lstsq', 'single')     	   55.0	  826.0	  771.0	0.330000	0.322000	0.337000	 50	5.0
jaccsim 	elsio1-ml-22 	Linear  	 2646	(3, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	  110.0	 1013.0	  903.0	0.428000	0.420000	0.435000	 50	4.0
jaccsim 	whoqol       	Ridge   	    6	(1, 1, 'averages', 's-invariant', 'cover', 'ridge', 'single')     	   10.0	   10.0	    0.0	0.010000	0.004000	0.016000	 50	3.0
jaccsim 	whoqol-ml-11 	Ridge   	 3349	(3, 8, 'averages', 'tree', 'cover', 'lstsquni', 'multiple')       	   55.0	 1067.0	 1012.0	0.113000	0.095000	0.131000	 50	3.0
jaccsim 	whoqol-ml-22 	Ridge   	 1830	(2, 5, 'measures', 's-invariant', 'cover', 'ridge', 'single')     	  110.0	  903.0	  793.0	0.193000	0.180000	0.207000	 50	3.0
