metric  	dataset      	model   	index	mean	lb	ub	rank
accuracy	iris (mc)    	Polygrid	  225	0.983000	0.977000	0.991000	1.0
accuracy	penguins (mc)	Polygrid	    6	0.992000	0.988000	0.995000	1.0
accuracy	wine (mc)    	Polygrid	  948	0.991000	0.987000	0.995000	1.0
accuracy	cancer (mc)  	Polygrid	  753	0.948000	0.942000	0.953000	1.0
accuracy	iris (mc)    	Linear  	  225	0.808000	0.794000	0.822000	8.0
accuracy	penguins (mc)	Linear  	    6	0.987000	0.984000	0.990000	2.0
accuracy	wine (mc)    	Linear  	  948	0.970000	0.965000	0.977000	3.0
accuracy	cancer (mc)  	Linear  	  753	0.928000	0.922000	0.935000	4.0
accuracy	iris (mc)    	Ridge   	  225	0.837000	0.820000	0.855000	7.0
accuracy	penguins (mc)	Ridge   	    6	0.979000	0.975000	0.983000	3.0
accuracy	wine (mc)    	Ridge   	  948	0.988000	0.982000	0.994000	2.0
accuracy	cancer (mc)  	Ridge   	  753	0.937000	0.931000	0.943000	3.0
accuracy	iris (mc)    	MLP     	  225	0.977000	0.970000	0.983000	2.0
accuracy	penguins (mc)	MLP     	    6	0.823000	0.803000	0.841000	7.0
accuracy	wine (mc)    	MLP     	  948	0.969000	0.963000	0.975000	4.0
accuracy	cancer (mc)  	MLP     	  753	0.947000	0.942000	0.953000	2.0
accuracy	iris (mc)    	DT      	  225	0.946000	0.937000	0.957000	3.0
accuracy	penguins (mc)	DT      	    6	0.918000	0.902000	0.938000	5.0
accuracy	wine (mc)    	DT      	  948	0.905000	0.891000	0.919000	7.0
accuracy	cancer (mc)  	DT      	  753	0.917000	0.911000	0.923000	5.0
accuracy	iris (mc)    	RF      	  225	0.945000	0.935000	0.956000	4.0
accuracy	penguins (mc)	RF      	    6	0.774000	0.765000	0.783000	8.0
accuracy	wine (mc)    	RF      	  948	0.933000	0.922000	0.944000	6.0
accuracy	cancer (mc)  	RF      	  753	0.842000	0.833000	0.852000	8.0
accuracy	iris (mc)    	BRDT    	  225	0.944000	0.935000	0.953000	5.0
accuracy	penguins (mc)	BRDT    	    6	0.932000	0.923000	0.940000	4.0
accuracy	wine (mc)    	BRDT    	  948	0.846000	0.831000	0.861000	8.0
accuracy	cancer (mc)  	BRDT    	  753	0.912000	0.905000	0.919000	7.0
accuracy	iris (mc)    	BRRF    	  225	0.937000	0.925000	0.951000	6.0
accuracy	penguins (mc)	BRRF    	    6	0.840000	0.815000	0.865000	6.0
accuracy	wine (mc)    	BRRF    	  948	0.960000	0.950000	0.971000	5.0
accuracy	cancer (mc)  	BRRF    	  753	0.913000	0.905000	0.921000	6.0
accuracy	iris (mc)    	Random  	  225	0.307000	0.283000	0.333000	9.0
accuracy	penguins (mc)	Random  	    6	0.327000	0.313000	0.341000	9.0
accuracy	wine (mc)    	Random  	  948	0.340000	0.319000	0.361000	9.0
accuracy	cancer (mc)  	Random  	  753	0.501000	0.488000	0.514000	9.0
hammingl	iris (mc)    	Polygrid	  225	0.011000	0.006000	0.016000	1.0
hammingl	penguins (mc)	Polygrid	    6	0.006000	0.003000	0.008000	1.0
hammingl	wine (mc)    	Polygrid	  948	0.006000	0.003000	0.009000	1.0
hammingl	cancer (mc)  	Polygrid	  753	0.052000	0.047000	0.058000	1.0
hammingl	iris (mc)    	Linear  	  225	0.128000	0.118000	0.137000	8.0
