Replica	Script	Step	Status	Participant	Age	Sex	Education	Knowledge Area	Contact Me	Withdraw	Task Type	Section	Function	Sample Type	Oracle	Predicted	Response	Start	Finish	User Agent	Comments
os2	1	1	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT03	Section 0 - Polygrid  diagram	instruction	/os2/0/instruction/polygrid/first/common	0	0	0	1713282488865	1713282752122	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	2	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/49	1	1	1	1713282754126	1713282789851	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	3	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/82	2	2	2	1713282795474	1713282811672	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	4	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	warmup	/os2/1/warmup/polygrid/first/common/104	3	3	3	1713282838674	1713282947926	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	5	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT03	Section 0 - Polygrid  diagram	set-ready	/os2/2/set-ready/polygrid/first/common	0	0	0	1713282948774	1713282961858	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	6	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/103	3	3	3	1713282977794	1713283061184	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	7	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/left/75	2	2	2	1713283066955	1713283108814	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	8	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/115	3	3	3	1713283114747	1713283151219	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	9	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/common/38	1	1	1	1713283157040	1713283169054	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	10	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/41	1	1	1	1713283171023	1713283194086	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	11	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/right/131	3	3	3	1713283195511	1713283209863	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
os2	1	12	COMPLETED		41	Feminino	Ensino superior completo	Ciências Sociais Aplicadas	False	False	TT04	Section 0 - Polygrid  diagram	go	/os2/3/go/polygrid/first/repeat/115	3	3	3	1713283210152	1713283219725	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	
